# StartTime = 07/20/2018 01:33:06.3941 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
7.811,66.48672,2490,23.13725,48.62745
7.873,66.48672,2495,23.13725,48.62745
7.937,66.48672,2495,23.13725,48.62745
8.001,66.48672,2495,23.13725,48.62745
8.061,66.48672,2498,21.96078,48.62745
8.124,66.48672,2498,21.96078,44.70588
8.188,66.48672,2498,21.96078,44.70588
8.252,66.48672,2492,21.96078,44.70588
8.311,66.48672,2492,21.96078,44.70588
8.377,66.48672,2492,21.96078,42.7451
8.437,66.48672,2492,21.96078,42.7451
8.501,66.48672,2494,20.78431,42.7451
8.561,66.48672,2494,20.78431,36.86274
8.627,66.48672,2494,20.78431,36.86274
8.687,66.48672,2490,20.78431,36.86274
8.751,66.48672,2490,18.82353,36.86274
8.811,66.48672,2490,18.82353,36.86274
8.877,66.48672,2493,18.82353,36.86274
8.937,66.48672,2493,20,27.05882
9.001,66.48672,2493,20,27.05882
9.061,66.48672,2493,20,27.05882
9.124,66.48672,2497,17.2549,27.05882
9.186,66.48672,2497,17.2549,24.31373
9.249,66.48672,2497,17.2549,24.31373
9.312,66.48672,2484,16.86275,24.31373
9.375,66.48672,2484,16.86275,17.2549
9.438,66.48672,2484,16.86275,17.2549
9.499,66.48672,2478,16.86275,17.2549
9.563,66.48672,2478,15.29412,14.90196
9.627,66.48672,2478,15.29412,14.90196
9.687,66.48672,2478,15.29412,14.90196
9.751,66.48672,2470,15.29412,14.90196
9.811,65.86535,2470,15.29412,10.19608
9.877,65.86535,2470,15.29412,10.19608
9.937,65.86535,2469,15.29412,10.19608
10.001,65.86535,2469,15.29412,10.58823
10.061,65.86535,2469,15.29412,10.58823
10.127,65.86535,2469,15.29412,10.58823
10.187,65.86535,2475,15.29412,10.58823
10.249,65.86535,2475,15.29412,10.58823
10.312,65.86535,2475,15.29412,10.58823
10.377,65.86535,2465,15.29412,10.58823
10.437,65.86535,2465,15.29412,10.19608
10.501,65.86535,2465,15.29412,10.19608
10.561,65.86535,2455,15.29412,10.19608
10.627,65.86535,2455,15.29412,10.19608
10.687,65.24397,2455,15.29412,10.19608
10.751,65.24397,2453,15.29412,10.19608
10.811,65.24397,2453,16.86275,14.11765
10.873,65.24397,2453,16.86275,14.11765
10.937,65.24397,2453,16.86275,14.11765
11.001,65.24397,2467,14.90196,14.11765
11.061,65.24397,2467,14.90196,10.58823
11.127,65.24397,2467,14.90196,10.58823
11.187,65.24397,2451,14.90196,10.58823
11.249,65.24397,2451,15.29412,10.19608
11.311,65.24397,2451,15.29412,10.19608
11.377,65.24397,2435,15.29412,10.19608
11.437,65.24397,2435,15.29412,10.19608
11.501,65.24397,2435,15.29412,10.58823
11.561,65.24397,2435,15.29412,10.58823
11.627,65.24397,2452,15.29412,10.58823
11.687,65.24397,2452,15.29412,10.19608
11.751,65.24397,2452,15.29412,10.19608
11.811,65.24397,2431,15.29412,10.19608
11.877,65.24397,2431,15.29412,10.19608
11.937,64.6226,2431,15.29412,10.19608
12.001,64.6226,2431,15.29412,10.19608
12.061,64.6226,2421,15.29412,10.19608
12.124,64.6226,2421,15.29412,10.19608
12.188,64.6226,2421,15.29412,10.19608
12.252,64.6226,2418,15.29412,10.19608
12.312,64.6226,2418,15.29412,10.19608
12.374,64.6226,2418,15.29412,10.19608
12.438,64.6226,2419,15.29412,10.19608
12.502,64.6226,2419,15.29412,10.19608
12.562,64.00124,2419,15.29412,10.19608
12.627,64.00124,2403,15.29412,10.19608
12.687,64.00124,2403,15.29412,10.19608
12.751,64.00124,2403,15.29412,10.19608
12.811,64.00124,2403,15.29412,10.19608
12.877,64.00124,2403,15.29412,10.19608
12.937,63.37986,2403,15.29412,10.19608
13.001,63.37986,2403,15.29412,10.19608
13.061,63.37986,2413,17.2549,10.19608
13.127,64.00124,2413,17.2549,11.37255
13.187,64.00124,2413,17.2549,11.37255
13.251,64.00124,2411,17.2549,11.37255
13.313,64.00124,2411,20.78431,21.17647
13.377,63.37986,2411,20.78431,21.17647
13.438,63.37986,2411,20.78431,21.17647
13.498,63.37986,2387,20.78431,21.17647
13.562,63.37986,2387,20.78431,36.86274
13.627,63.37986,2387,20.78431,36.86274
13.687,63.37986,2387,20.78431,36.86274
13.751,63.37986,2387,19.60784,28.62745
13.811,63.37986,2387,19.60784,28.62745
13.877,63.37986,2387,19.60784,28.62745
13.937,63.37986,2383,19.60784,28.62745
14.001,63.37986,2383,19.60784,30.58824
14.061,63.37986,2383,19.60784,30.58824
14.127,63.37986,2378,19.60784,30.58824
14.185,63.37986,2378,19.60784,30.19608
14.248,63.37986,2378,19.60784,30.19608
14.311,63.37986,2378,19.60784,30.19608
14.374,63.37986,2376,20.39216,30.19608
14.437,63.37986,2376,20.39216,31.76471
14.501,63.37986,2376,20.39216,31.76471
14.561,63.37986,2375,20.39216,35.29412
14.627,63.37986,2375,20.39216,35.29412
14.687,63.37986,2375,20.39216,35.29412
14.751,63.37986,2371,20.39216,35.29412
14.811,63.37986,2371,20.39216,34.90196
14.877,63.37986,2371,20.39216,34.90196
14.937,63.37986,2371,20.39216,34.90196
15.001,63.37986,2371,20.39216,34.90196
15.061,62.75849,2371,20.39216,34.90196
15.127,62.75849,2371,20.39216,34.90196
15.187,62.75849,2368,21.17647,34.90196
15.251,63.37986,2368,21.17647,38.82353
15.313,63.37986,2368,21.17647,38.82353
15.376,63.37986,2371,21.17647,38.82353
15.439,63.37986,2371,23.92157,55.68628
15.499,63.37986,2371,23.92157,55.68628
15.563,63.37986,2371,23.92157,55.68628
15.627,63.37986,2375,26.66667,55.68628
15.687,63.37986,2375,26.66667,69.41177
15.751,63.37986,2375,26.66667,69.41177
15.811,63.37986,2380,27.84314,69.41177
15.877,63.37986,2380,27.84314,69.01961
15.937,63.37986,2380,27.84314,69.01961
16.001,63.37986,2386,32.15686,69.01961
16.061,63.37986,2386,32.15686,76.86275
16.124,63.37986,2386,32.15686,76.86275
16.188,63.37986,2386,32.15686,76.86275
16.252,63.37986,2390,38.43137,76.86275
16.314,64.00124,2390,38.43137,76.47059
16.377,64.00124,2390,38.43137,76.47059
16.436,64.00124,2401,39.60784,76.47059
16.5,64.00124,2401,39.60784,76.47059
16.564,64.00124,2401,39.60784,76.47059
16.627,64.00124,2413,39.60784,76.47059
16.687,64.00124,2413,39.60784,77.25491
16.751,64.00124,2413,39.60784,77.25491
16.811,64.00124,2418,39.60784,77.25491
16.877,64.00124,2418,39.60784,75.68627
16.937,64.6226,2418,39.60784,75.68627
17.001,64.6226,2418,39.60784,75.68627
17.061,64.6226,2433,39.60784,75.68627
17.127,64.6226,2433,39.60784,75.29412
17.187,64.6226,2433,39.60784,75.29412
17.251,64.6226,2446,39.60784,75.29412
17.312,64.6226,2446,39.60784,76.86275
17.373,64.6226,2446,39.60784,76.86275
17.437,64.6226,2446,39.60784,76.86275
17.499,64.6226,2447,39.60784,76.86275
17.563,65.24397,2447,39.60784,80.78432
17.627,65.24397,2447,39.60784,80.78432
17.687,65.24397,2450,39.60784,80.78432
17.751,65.24397,2450,39.60784,79.60784
17.811,65.24397,2450,39.60784,79.60784
17.877,65.24397,2450,39.60784,79.60784
17.937,65.24397,2458,39.60784,79.60784
18.001,65.24397,2458,39.60784,74.90196
18.061,65.24397,2458,39.60784,74.90196
18.127,65.24397,2465,39.60784,74.90196
18.187,65.24397,2465,38.82353,80.39216
18.251,65.86535,2465,38.82353,80.39216
18.314,65.86535,2465,38.82353,80.39216
18.377,65.86535,2481,37.64706,80.39216
18.437,65.86535,2481,37.64706,79.60784
18.5,65.86535,2481,37.64706,79.60784
18.564,65.86535,2486,37.64706,79.60784
18.627,65.86535,2486,37.2549,76.47059
18.687,66.48672,2486,37.2549,76.47059
18.751,66.48672,2486,37.2549,76.47059
18.811,66.48672,2495,36.47059,78.43137
18.877,66.48672,2495,36.47059,78.43137
18.937,66.48672,2495,36.47059,78.43137
19.001,66.48672,2505,35.68628,78.43137
19.061,66.48672,2505,35.68628,74.90196
19.127,67.10809,2505,35.68628,74.90196
19.189,67.10809,2515,35.68628,74.90196
19.248,67.10809,2515,34.90196,74.90196
19.311,67.10809,2515,34.90196,74.90196
19.374,67.10809,2513,34.90196,74.90196
19.437,67.10809,2513,34.90196,77.25491
19.499,67.10809,2513,34.90196,77.25491
19.561,67.10809,2513,34.90196,77.25491
19.627,67.10809,2531,34.11765,77.25491
19.687,67.10809,2531,34.11765,76.07843
19.751,67.10809,2531,34.11765,76.07843
19.811,67.10809,2533,34.11765,76.07843
19.877,67.10809,2533,34.11765,76.07843
19.937,67.72946,2533,34.11765,76.07843
20.001,67.72946,2538,34.11765,76.07843
20.061,67.72946,2538,33.72549,76.07843
20.127,67.72946,2538,33.72549,73.72549
20.187,67.72946,2553,33.72549,73.72549
20.251,67.72946,2553,33.72549,73.72549
20.312,67.72946,2553,33.72549,73.33334
20.377,67.72946,2553,33.72549,73.33334
20.437,67.72946,2558,33.72549,73.33334
20.501,67.72946,2558,33.72549,73.33334
20.561,68.35083,2558,33.72549,73.33334
20.623,68.35083,2558,33.72549,73.33334
20.687,68.35083,2569,33.33333,74.11765
20.751,68.35083,2569,33.33333,74.11765
20.811,68.35083,2569,33.33333,74.11765
20.877,68.35083,2573,33.33333,74.11765
20.937,68.35083,2573,33.33333,74.90196
21.001,68.35083,2573,33.33333,74.90196
21.061,68.35083,2584,33.33333,74.90196
21.127,68.97221,2584,33.33333,74.90196
21.187,68.97221,2584,33.33333,74.90196
21.251,68.97221,2586,33.33333,74.90196
21.311,68.97221,2586,33.33333,74.90196
21.377,68.97221,2586,33.33333,76.07843
21.437,68.97221,2586,33.33333,76.07843
21.501,68.97221,2599,33.33333,76.07843
