# StartTime = 07/20/2018 01:42:36.0370 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
0,0,0,24.70588,54.11765
0.06,13.04879,0,24.70588,54.11765
0.124,13.04879,0,24.70588,54.11765
0.184,13.04879,2701,25.09804,54.11765
0.246,13.04879,2701,25.09804,54.11765
0.31,13.67017,2701,25.09804,54.11765
0.374,13.67017,2882,25.09804,54.11765
0.434,13.67017,2882,25.09804,54.11765
0.496,14.29154,2882,25.09804,53.33333
0.56,14.29154,3041,25.09804,53.33333
0.622,14.29154,3041,25.4902,53.33333
0.685,15.53428,3041,25.4902,53.33333
0.746,15.53428,3041,25.4902,53.33333
0.81,15.53428,3188,25.09804,53.33333
0.874,16.15565,3188,25.09804,51.76471
0.934,16.15565,3188,25.09804,51.76471
0.997,16.15565,3340,25.09804,51.76471
1.061,16.15565,3340,25.09804,48.23529
1.124,16.77702,3340,25.09804,48.23529
1.186,16.77702,3477,25.09804,48.23529
1.246,16.77702,3477,25.4902,48.62745
1.31,17.39839,3477,25.4902,48.62745
1.374,17.39839,3616,25.4902,48.62745
1.434,17.39839,3616,25.4902,48.62745
1.496,18.01976,3616,25.4902,47.45098
1.56,18.01976,3616,25.4902,47.45098
1.624,18.01976,3744,25.4902,47.45098
1.684,18.64114,3744,25.4902,46.27451
1.747,18.64114,3744,25.4902,46.27451
1.811,18.64114,3858,25.4902,46.27451
1.873,18.64114,3858,25.4902,45.09804
1.934,19.26251,3858,25.4902,45.09804
1.996,19.26251,3858,25.4902,45.09804
2.06,19.26251,3976,25.4902,45.09804
2.124,19.26251,3976,25.4902,43.52941
2.184,19.88388,3976,25.4902,43.52941
2.246,19.88388,4098,25.4902,43.52941
2.31,19.88388,4098,25.4902,43.52941
2.374,20.50525,4098,25.4902,43.52941
2.434,20.50525,4098,25.4902,43.52941
2.496,20.50525,4187,25.4902,43.52941
2.56,21.12662,4187,25.4902,41.56863
2.623,21.12662,4187,25.4902,41.56863
2.686,21.12662,4300,25.4902,41.56863
2.748,21.12662,4300,25.4902,41.17647
2.808,21.74799,4300,25.4902,41.17647
2.872,21.74799,4300,25.4902,41.17647
2.936,21.74799,4385,25.88235,41.17647
2.996,21.74799,4385,25.88235,41.17647
3.06,21.74799,4385,25.88235,41.17647
3.123,21.74799,4482,25.88235,41.17647
3.186,21.74799,4482,25.88235,41.56863
3.246,22.36936,4482,25.88235,41.56863
3.31,22.36936,4482,25.88235,41.56863
3.374,22.36936,4562,25.88235,41.56863
3.434,22.99073,4562,25.88235,41.17647
3.496,22.99073,4562,25.88235,41.17647
3.56,22.99073,4632,25.88235,41.17647
3.624,22.99073,4632,25.88235,40.39216
3.686,22.99073,4632,25.88235,40.39216
3.746,22.99073,4632,25.88235,40.39216
3.808,22.99073,4716,25.88235,40.39216
3.872,23.6121,4716,25.88235,40
3.936,23.6121,4716,25.88235,40
3.996,23.6121,4789,25.88235,40
4.06,24.23348,4789,25.88235,40
4.124,24.23348,4789,25.88235,40
4.184,24.23348,4844,25.88235,40
4.247,24.23348,4844,25.88235,40
4.311,24.23348,4844,25.88235,40
4.371,24.23348,4844,25.88235,40
4.435,24.23348,4914,25.88235,40
4.497,24.85485,4914,25.88235,38.43137
4.561,24.85485,4914,25.88235,38.43137
