# StartTime = 07/20/2018 01:40:23.9388 PM
Time (sec), Vehicle speed (MPH), Engine RPM (RPM), Absolute throttle position (%), Absolute load value (%)
8.94,32.93267,2480,19.21569,23.92157
9,32.93267,2480,19.21569,23.92157
9.066,32.93267,2495,19.21569,23.92157
9.126,32.93267,2495,20.78431,34.11765
9.191,33.55404,2495,20.78431,34.11765
9.251,33.55404,2495,20.78431,34.11765
9.316,33.55404,2493,18.82353,34.11765
9.376,33.55404,2493,18.82353,29.01961
9.44,33.55404,2493,18.82353,29.01961
9.503,33.55404,2507,18.82353,29.01961
9.566,33.55404,2507,19.21569,22.7451
9.626,33.55404,2507,19.21569,22.7451
9.69,33.55404,2507,19.21569,22.7451
9.75,33.55404,2518,18.43137,22.7451
9.816,33.55404,2518,18.43137,26.27451
9.876,33.55404,2518,18.43137,26.27451
9.94,33.55404,2519,18.03922,26.27451
10,33.55404,2519,18.03922,20
10.066,33.55404,2519,18.03922,20
10.126,33.55404,2519,18.03922,20
10.19,33.55404,2539,18.03922,20
10.25,33.55404,2539,18.03922,18.82353
10.316,33.55404,2539,18.03922,18.82353
10.376,33.55404,2534,17.64706,18.82353
10.44,33.55404,2534,17.64706,18.43137
10.503,33.55404,2534,17.64706,18.43137
10.566,33.55404,2539,17.64706,18.43137
10.626,33.55404,2539,17.64706,17.64706
10.69,34.17542,2539,17.64706,17.64706
10.752,34.17542,2539,17.64706,17.64706
10.816,34.17542,2539,17.2549,17.64706
10.877,34.17542,2539,17.2549,15.68627
10.941,34.17542,2539,17.2549,15.68627
11.001,34.17542,2545,17.2549,15.68627
11.063,34.17542,2545,17.2549,16.07843
11.127,34.17542,2545,17.2549,16.07843
11.191,34.17542,2554,17.2549,16.07843
11.251,34.17542,2554,18.43137,16.07843
11.313,34.17542,2554,18.43137,17.64706
11.377,34.17542,2554,18.43137,17.64706
11.441,34.17542,2553,18.43137,17.64706
11.503,34.17542,2553,18.43137,21.17647
11.566,34.17542,2553,18.43137,21.17647
11.626,34.17542,2553,18.43137,21.17647
11.69,34.17542,2562,19.21569,21.17647
11.75,34.17542,2562,19.21569,21.17647
11.813,34.17542,2562,19.21569,21.17647
11.876,34.17542,2570,19.60784,21.17647
11.939,34.17542,2570,19.60784,27.05882
12.002,34.17542,2570,19.60784,27.05882
