# StartTime = 07/20/2018 01:53:17.7217 PM									
Time (sec)	 Vehicle speed (MPH)	 Engine RPM (RPM)	 Absolute throttle position (%)	 Absolute load value (%)		MPH	RPM	Throttle 	Load
6.311	43.49598	3262	17.64706	13.33333		42	3250	18	14
6.375	43.49598	3262	22.7451	29.80392		42	3250	23	30
6.438	43.49598	3262	22.7451	29.80392		42	3250	23	30
6.5	43.49598	3262	22.7451	29.80392		42	3250	23	30
6.561	43.49598	3269	23.92157	29.80392		42	3250	24	30
6.625	44.11736	3269	23.92157	42.7451		45	3250	24	42
6.689	44.11736	3269	23.92157	42.7451		45	3250	24	42
6.749	44.11736	3302	23.92157	42.7451		45	3250	24	42
6.811	44.11736	3302	23.92157	41.17647		45	3250	24	42
6.875	44.11736	3302	23.92157	41.17647		45	3250	24	42
6.94	44.11736	3331	23.92157	41.17647		45	3375	24	42
7	44.11736	3331	23.92157	41.17647		45	3375	24	42
7.061	44.73873	3331	23.92157	41.17647		45	3375	24	42
7.125	44.73873	3331	23.92157	41.17647		45	3375	24	42
7.189	44.73873	3364	23.92157	41.17647		45	3375	24	42
7.249	45.3601	3364	23.92157	41.56863		45	3375	24	42
7.311	45.3601	3364	23.92157	41.56863		45	3375	24	42
7.375	45.3601	3395	23.92157	41.56863		45	3375	24	42
7.439	45.3601	3395	23.92157	41.17647		45	3375	24	42
7.498	45.3601	3395	23.92157	41.17647		45	3375	24	42
7.561	45.3601	3429	23.92157	41.17647		45	3375	24	42
7.625	45.3601	3429	23.52941	39.60784		45	3375	24	40
7.689	45.98147	3429	23.52941	39.60784		45	3375	24	40
7.749	45.98147	3429	23.52941	39.60784		45	3375	24	40
7.811	45.98147	3459	22.7451	39.60784		45	3500	23	40
7.875	45.98147	3459	22.7451	38.03922		45	3500	23	38
7.938	46.60284	3459	22.7451	38.03922		48	3500	23	38
8.001	46.60284	3488	22.7451	38.03922		48	3500	23	38
8.061	46.60284	3488	22.35294	34.5098		48	3500	22	34
8.125	46.60284	3488	22.35294	34.5098		48	3500	22	34
8.189	46.60284	3488	22.35294	34.5098		48	3500	22	34
8.252	46.60284	3517	22.35294	34.5098		48	3500	22	34
8.311	47.22421	3517	22.35294	32.94118		48	3500	22	32
8.374	47.22421	3517	22.35294	32.94118		48	3500	22	32
8.437	47.22421	3542	22.35294	32.94118		48	3500	22	32
8.5	47.22421	3542	22.7451	33.72549		48	3500	23	34
8.561	47.84558	3542	22.7451	33.72549		48	3500	23	34
8.625	47.84558	3542	22.7451	33.72549		48	3500	23	34
8.689	47.84558	3574	22.7451	33.72549		48	3625	23	34
8.749	47.84558	3574	22.7451	33.33333		48	3625	23	34
8.811	47.84558	3574	22.7451	33.33333		48	3625	23	34
8.875	47.84558	3598	21.96078	33.33333		48	3625	22	34
8.94	48.46695	3598	21.96078	30.98039		48	3625	22	30
9	48.46695	3598	21.96078	30.98039		48	3625	22	30
9.061	48.46695	3619	21.96078	30.98039		48	3625	22	30
9.125	48.46695	3619	21.56863	27.45098		48	3625	22	28
9.189	48.46695	3619	21.56863	27.45098		48	3625	22	28
9.249	48.46695	3633	21.56863	27.45098		48	3625	22	28
9.311	48.46695	3633	20	20.78431		48	3625	20	20
9.375	49.08833	3633	20	20.78431		48	3625	20	20
9.439	49.08833	3633	20	20.78431		48	3625	20	20
9.501	49.08833	3654	20	20.78431		48	3625	20	20
9.564	49.08833	3654	20	21.17647		48	3625	20	22
9.624	49.08833	3654	20	21.17647		48	3625	20	22
9.688	49.08833	3674	20	21.17647		48	3625	20	22
